"PICTURE","ITEM_NUM","UPC"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A/1.jpg","#100025","739698100029"
"https://s3.amazonaws.com/bulbrite/product-images/Product/150A_HL/1.jpg","#100151","739698100111"
"https://s3.amazonaws.com/bulbrite/product-images/Product/200A_HL/1.jpg","#100201","739698100210"
"https://s3.amazonaws.com/bulbrite/product-images/Product/300PS25/1.jpg","#100300","739698100302"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CL/1.jpg","#101025","739698101026"
"https://s3.amazonaws.com/bulbrite/product-images/Product/150A_CL_HL/1.jpg","#101151","739698101118"
"https://s3.amazonaws.com/bulbrite/product-images/Product/200A_CL_HL/1.jpg","#101201","739698101217"
"https://s3.amazonaws.com/bulbrite/product-images/Product/300PS25CL/1.jpg","#101300","739698101309"
"https://s3.amazonaws.com/bulbrite/product-images/Product/30_100/1.jpg","#102100","739698102108"
"https://s3.amazonaws.com/bulbrite/product-images/Product/30_100_RP/1.jpg","#102101","046135193859"
"https://s3.amazonaws.com/bulbrite/product-images/Product/50_150/1.jpg","#102150","739698102153"
"https://s3.amazonaws.com/bulbrite/product-images/Product/50_150_RP/1.jpg","#102151","046135180606"
"https://s3.amazonaws.com/bulbrite/product-images/Product/50_250_RP/1.jpg","#102250","046135194047"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100_300_RP/1.jpg","#102300","046135143748"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_YB/1.jpg","#103025","739698103020"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_YB/1.jpg","#103040","739698103044"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_YB/1.jpg","#103060","739698103068"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100A_YB/1.jpg","#103100","739698103105"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A15F/1.jpg","#104025","739698104058"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A15F/1.jpg","#104040","739698104041"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A15C/1.jpg","#104125","739698104157"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A15C/1.jpg","#104140","739698104140"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A15F_E17/1.jpg","#104240","739698104409"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A15C_E17/1.jpg","#104241","739698104416"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A15F_E12/1.jpg","#104360","739698104362"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A15C_E12/1.jpg","#104361","739698104638"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TB/1.jpg","#105325","739698105321"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TG/1.jpg","#105425","739698105420"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TO/1.jpg","#105525","739698105529"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TP/1.jpg","#105625","739698105628"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TR/1.jpg","#105725","739698105727"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_TY/1.jpg","#105825","739698105826"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CB/1.jpg","#106325","739698106328"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CB/1.jpg","#106340","739698106342"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CB/1.jpg","#106360","739698106366"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CG/1.jpg","#106425","739698106427"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CG/1.jpg","#106440","739698106441"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CG/1.jpg","#106460","739698106465"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CO/1.jpg","#106525","739698106526"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CO/1.jpg","#106540","739698106540"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CO/1.jpg","#106560","739698106564"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CP/1.jpg","#106625","739698106625"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CP/1.jpg","#106640","739698106649"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CP/1.jpg","#106660","739698106663"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CR/1.jpg","#106725","739698106724"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CR/1.jpg","#106740","739698106748"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CR/1.jpg","#106760","739698106762"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_CY/1.jpg","#106825","739698106823"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CY/1.jpg","#106840","739698106847"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CY/1.jpg","#106860","739698106861"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40T10BL/1.jpg","#106940","739698106946"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_BL/1.jpg","#106975","739698106977"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_RS/1.jpg","#107075","739698107073"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_RS-2PK/1.jpg","#107140","739698107141"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_RS-2PK/1.jpg","#107160","739698107165"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_RS-2PK/1.jpg","#107175","739698107172"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100A_RS-2PK/1.jpg","#107200","739698107202"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_CL_RS-2PK/1.jpg","#107240","739698107240"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_CL_RS-2PK/1.jpg","#107260","739698107264"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_CL_RS-2PK/1.jpg","#107275","739698107271"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100A_CL_RS-2PK/1.jpg","#107300","739698107301"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A15_TF/1.jpg","#108040","739698108049"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_RS_TF/1.jpg","#108060","739698108063"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_RS_TF/1.jpg","#108075","739698108070"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100A_RS_TF/1.jpg","#108100","739698108100"
"https://s3.amazonaws.com/bulbrite/product-images/Product/150A21_TF/1.jpg","#108150","739698108155"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15A15F_12/1.jpg","#110015","739698110011"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A19F_12/1.jpg","#110025","739698110028"
"https://s3.amazonaws.com/bulbrite/product-images/Product/50A19F_12/1.jpg","#110050","739698110059"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_SW/1.jpg","#112025","739698112022"
"https://s3.amazonaws.com/bulbrite/product-images/Product/29A19CL_ECO/1.jpg","#115028","739698115023"
"https://s3.amazonaws.com/bulbrite/product-images/Product/43A19CL_ECO/1.jpg","#115042","739698115047"
"https://s3.amazonaws.com/bulbrite/product-images/Product/53A19CL_ECO/1.jpg","#115052","739698115054"
"https://s3.amazonaws.com/bulbrite/product-images/Product/72A19CL_ECO/1.jpg","#115070","739698115078"
"https://s3.amazonaws.com/bulbrite/product-images/Product/72A19_3WAY_ECO/1.jpg","#115072","739698115726"
"https://s3.amazonaws.com/bulbrite/product-images/Product/29A19SW_ECO/1.jpg","#115128","739698115122"
"https://s3.amazonaws.com/bulbrite/product-images/Product/43A19SW_ECO/1.jpg","#115142","739698115146"
"https://s3.amazonaws.com/bulbrite/product-images/Product/53A19SW_ECO/1.jpg","#115152","739698115153"
"https://s3.amazonaws.com/bulbrite/product-images/Product/72A19SW_ECO/1.jpg","#115170","739698115177"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25A_220/1.jpg","#120025","739698120256"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40A_220/1.jpg","#120040","739698120409"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60A_220/1.jpg","#120060","739698120607"
"https://s3.amazonaws.com/bulbrite/product-images/Product/75A_220/1.jpg","#120075","739698120751"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100A_220/1.jpg","#120100","739698121000"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25T6_SQ_E12/1.jpg","#132506","739698132068"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25T6_SQ_E12/1.jpg","#132507","739698132754"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25ST15_SQ_E12/1.jpg","#132510","739698132501"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25ST15_E12/1.jpg","#132511","739698132518"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25A15_SQ_E12/1.jpg","#132515","739698132556"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25A15_LP_E12/1.jpg","#132516","739698132563"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS40T8_E12/1.jpg","#132517","739698132570"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS40-GEM/1.jpg","#132518","739698132587"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS40-CENT/1.jpg","#132519","739698132594"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25-VICTOR/1.jpg","#132520","739698132204"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS40-LANTERN/1.jpg","#132521","739698132525"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25-VICTOR_A21/1.jpg","#132530","739698132303"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS25-VICTOR_A23/1.jpg","#132540","739698132402"
